,Unnamed: 0,District,Mandal,Village,Latitude,Longitude,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,Crop,ndvi,arvi,evi,gci
0,0,Anantapur,Penukonda,Gonipeta,14.08,77.69,Mixed soil,6.19,0.07,0.18,7.13,41,587,101,5.16,0.3,0.17,8.89,0.51,15.24,G.Nut,0.06677919243499911,0.03548506713811453,0.20390631205804444,0.18334151515537989
1,1,Anantapur,Penukonda,Gonipeta,14.09,77.69,Redsoil,8.4,0.33,0.31,10.34,102,811,261,9.91,0.36,0.57,3.24,0.44,6.9,G.Nut,0.07406366741832812,0.039668296812454346,0.21134008778792196,0.21091195479081404
2,2,Anantapur,Penukonda,Gonipeta,14.09,77.69,Mixed soil,7.1,0.11,0.17,8.46,46,582,48,3.77,0.37,0.19,5.54,0.42,8.34,G.Nut,0.07406366741832812,0.039668296812454346,0.21134008778792196,0.21091195479081404
3,3,Anantapur,Penukonda,Gonipeta,14.1,77.7,Sandi soil,8.3,0.21,0.20,2.31,35,3048,52,4.14,0.23,0.21,1.79,0.67,4.17,Horsegram,0.0795181977267257,0.041296459991822264,0.2111753432192935,0.22046253632679957
4,4,Anantapur,Penukonda,Gonipeta,14.09,77.69,Mixed soil,6.4,0.06,0.22,6.08,76,511,84,1.45,0.36,0.22,22.26,0.45,9.2,Horsegram,0.07406366741832812,0.039668296812454346,0.21134008778792196,0.21091195479081404
5,5,Anantapur,Penukonda,Gonipeta,14.09,77.69,Redsoil,7.78,0.14,0.21,5.68,44,1161,71,2.20,0.69,2.38,2.83,0.64,4.41,G.Nut,0.07406366741832812,0.039668296812454346,0.21134008778792196,0.21091195479081404
6,6,Anantapur,Penukonda,Gonipeta,14.09,77.69,Mixed soil,6.3,0.06,0.28,2.08,51,612,122,4.54,0.59,0.28,7.11,0.56,17.07,G.Nut,0.07406366741832812,0.039668296812454346,0.21134008778792196,0.21091195479081404
7,7,Anantapur,Penukonda,Gonipeta,14.09,77.69,Red soil,6.25,0.07,0.31,1.98,42,1016,172,4.20,0.35,0.32,7.29,0.6,17.39,G.Nut,0.07406366741832812,0.039668296812454346,0.21134008778792196,0.21091195479081404
8,8,Anantapur,Penukonda,Gonipeta,14.1,77.7,Black Soil,6.32,0.09,0.16,1.32,62,825,309,2.77,0.23,0.22,4.45,0.58,7.64,G.Nut,0.0795181977267257,0.041296459991822264,0.2111753432192935,0.22046253632679957
9,9,Anantapur,Penukonda,Gonipeta,14.08,77.69,Mixed soil,7.91,0.21,0.25,2.21,60,1977,216,2.89,0.18,0.23,3.23,0.82,5.71,G.Nut,0.06677919243499911,0.03548506713811453,0.20390631205804444,0.18334151515537989
