,Latitude,Longitude,District,Mandal,Village,SoilType,pH,EC,OC,P,K,Ca,Mg,S,Zn,B,Fe,Cu,Mn,NDVI,ARVI,EVI,GCI,NDWI,Crop
0,14.08,77.69,Anantapur,Penukonda,Gonipeta,Mixed soil,6.19,0.07,0.18,7.13,41.0,587.0,101.0,5.16,0.3,0.17,8.89,0.51,15.24,0.3123110151187905,0.0902857142857142,0.5350799289520426,1.6099656357388317,-0.4459781056639695,G.Nut
1,14.09,77.69,Anantapur,Penukonda,Gonipeta,Redsoil,8.4,0.33,0.31,10.34,102.0,811.0,261.0,9.91,0.36,0.57,3.24,0.44,6.9,0.1278149726110773,-0.0686055182699478,0.1870324189526184,0.845617529880478,-0.2971648582429121,G.Nut
2,14.09,77.69,Anantapur,Penukonda,Gonipeta,Mixed soil,7.1,0.11,0.17,8.46,46.0,582.0,48.0,3.77,0.37,0.19,5.54,0.42,8.34,0.1278149726110773,-0.0686055182699478,0.1870324189526184,0.845617529880478,-0.2971648582429121,G.Nut
3,14.1,77.7,Anantapur,Penukonda,Gonipeta,Sandi soil,8.3,0.21,0.2,2.31,35.0,3048.0,52.0,4.14,0.23,0.21,1.79,0.67,4.17,0.140597539543058,-0.0655529326311966,0.1981996861838302,0.9847094801223242,-0.3299180327868852,Horsegram
4,14.09,77.69,Anantapur,Penukonda,Gonipeta,Mixed soil,6.4,0.06,0.22,6.08,76.0,511.0,84.0,1.45,0.36,0.22,22.26,0.45,9.2,0.1278149726110773,-0.0686055182699478,0.1870324189526184,0.845617529880478,-0.2971648582429121,Horsegram
5,14.09,77.69,Anantapur,Penukonda,Gonipeta,Redsoil,7.78,0.14,0.21,5.68,44.0,1161.0,71.0,2.2,0.69,2.38,2.83,0.64,4.41,0.1278149726110773,-0.0686055182699478,0.1870324189526184,0.845617529880478,-0.2971648582429121,G.Nut
6,14.09,77.69,Anantapur,Penukonda,Gonipeta,Mixed soil,6.3,0.06,0.28,2.08,51.0,612.0,122.0,4.54,0.59,0.28,7.11,0.56,17.07,0.1278149726110773,-0.0686055182699478,0.1870324189526184,0.845617529880478,-0.2971648582429121,G.Nut
7,14.09,77.69,Anantapur,Penukonda,Gonipeta,Red soil,6.25,0.07,0.31,1.98,42.0,1016.0,172.0,4.2,0.35,0.32,7.29,0.6,17.39,0.1278149726110773,-0.0686055182699478,0.1870324189526184,0.845617529880478,-0.2971648582429121,G.Nut
8,14.1,77.7,Anantapur,Penukonda,Gonipeta,Black Soil,6.32,0.09,0.16,1.32,62.0,825.0,309.0,2.77,0.23,0.22,4.45,0.58,7.64,0.140597539543058,-0.0655529326311966,0.1981996861838302,0.9847094801223242,-0.3299180327868852,G.Nut
9,14.08,77.69,Anantapur,Penukonda,Gonipeta,Mixed soil,7.91,0.21,0.25,2.21,60.0,1977.0,216.0,2.89,0.18,0.23,3.23,0.82,5.71,0.3123110151187905,0.0902857142857142,0.5350799289520426,1.6099656357388317,-0.4459781056639695,G.Nut
10,14.08,77.69,Anantapur,Penukonda,Gonipeta,Sandi soil,7.76,0.2,0.14,2.06,58.0,1428.0,102.0,12.33,0.18,0.19,2.8,0.47,6.81,0.3123110151187905,0.0902857142857142,0.5350799289520426,1.6099656357388317,-0.4459781056639695,G.Nut
11,14.08,77.69,Anantapur,Penukonda,Gonipeta,Sandi soil,8.2,0.11,0.24,2.14,46.0,3193.0,76.0,2.88,0.12,0.36,2.25,0.56,4.44,0.3123110151187905,0.0902857142857142,0.5350799289520426,1.6099656357388317,-0.4459781056639695,G.Nut
12,14.08,77.69,Anantapur,Penukonda,Gonipeta,Red soil,6.29,0.09,0.22,1.34,60.0,799.0,290.0,4.63,0.28,0.29,4.94,0.61,10.05,0.3123110151187905,0.0902857142857142,0.5350799289520426,1.6099656357388317,-0.4459781056639695,G.Nut
13,14.08,77.69,Anantapur,Penukonda,Gonipeta,Sandi soil,8.22,0.13,0.13,1.56,73.0,2761.0,75.0,3.4,0.16,0.32,2.89,0.89,7.55,0.3123110151187905,0.0902857142857142,0.5350799289520426,1.6099656357388317,-0.4459781056639695,G.Nut
14,14.08,77.69,Anantapur,Penukonda,Gonipeta,Mixed soil,5.66,0.04,0.23,1.32,28.0,1080.0,219.0,4.45,0.25,0.3,11.71,0.7,23.15,0.3123110151187905,0.0902857142857142,0.5350799289520426,1.6099656357388317,-0.4459781056639695,G.Nut
15,14.1,77.7,Anantapur,Penukonda,Gonipeta,Red soil,6.55,0.05,0.12,3.0,50.0,724.0,80.0,1.91,0.36,0.24,8.78,0.53,5.81,0.140597539543058,-0.0655529326311966,0.1981996861838302,0.9847094801223242,-0.3299180327868852,G.Nut
16,14.1,77.69,Anantapur,Penukonda,Gonipeta,Mixed soil,6.34,0.08,0.26,2.31,37.0,819.0,92.0,5.05,0.55,0.31,12.0,0.76,29.67,0.2907069102462272,0.0855094726062468,0.559461938245185,1.2663877266387726,-0.3877028181041844,G.Nut
17,14.09,77.69,Anantapur,Penukonda,Gonipeta,Black Soil,7.8,0.12,0.31,4.36,53.0,2473.0,84.0,1.75,0.22,0.21,6.02,0.53,10.32,0.1278149726110773,-0.0686055182699478,0.1870324189526184,0.845617529880478,-0.2971648582429121,G.Nut
18,14.09,77.69,Anantapur,Penukonda,Gonipeta,Red soil,6.97,0.12,0.49,3.45,67.0,1429.0,303.0,5.9,0.37,0.33,8.7,1.57,18.78,0.1278149726110773,-0.0686055182699478,0.1870324189526184,0.845617529880478,-0.2971648582429121,G.Nut
19,14.06,77.64,Anantapur,Penukonda,Gonipeta,Black Soil,7.45,0.13,0.3,3.78,95.0,948.0,78.0,4.57,0.6,0.23,4.63,0.5,10.34,0.1093793487336487,-0.0834603013373963,0.1574897811974032,0.840258541089566,-0.2958387516254877,G.Nut
20,14.06,77.64,Anantapur,Penukonda,Gonipeta,Sandi soil,7.17,0.03,0.17,1.41,71.0,907.0,84.0,1.06,0.21,0.18,3.99,0.54,9.22,0.1093793487336487,-0.0834603013373963,0.1574897811974032,0.840258541089566,-0.2958387516254877,G.Nut
21,14.06,77.64,Anantapur,Penukonda,Gonipeta,Mixed soil,8.25,0.11,0.2,1.49,82.0,2683.0,92.0,3.96,0.25,0.39,2.83,0.63,6.04,0.1093793487336487,-0.0834603013373963,0.1574897811974032,0.840258541089566,-0.2958387516254877,G.Nut
22,14.06,77.64,Anantapur,Penukonda,Gonipeta,Mixed soil,8.65,0.11,0.15,1.72,62.0,1658.0,131.0,12.31,0.27,0.27,2.96,0.45,6.29,0.1093793487336487,-0.0834603013373963,0.1574897811974032,0.840258541089566,-0.2958387516254877,G.Nut
23,14.06,77.64,Anantapur,Penukonda,Gonipeta,Red soil,6.8,0.07,0.15,1.46,66.0,1022.0,225.0,8.72,0.22,0.16,9.67,0.78,11.86,0.1093793487336487,-0.0834603013373963,0.1574897811974032,0.840258541089566,-0.2958387516254877,G.Nut
